Campaign name,Ad Set Name,Ad name,Currency,Amount spent (EUR),Impressions,Clicks (all),CPC (all),CTR (all),Frequency
ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,"Illustrate, Bear || ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta",EUR,5.17,1119,12,0.43083333,1.07238606,1.63836018
ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,"Illustrate, Elon || ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta",EUR,9.38,2196,20,0.469,0.91074681,1.64248317
TEST - Advantage+ shopping campaign || Paid || Meta,TEST - Advantage+ shopping campaign || Paid || Meta,Pepsi || TEST - Advantage+ shopping campaign || Paid || Meta,EUR,83.09,16669,174,0.47752874,1.04385386,1.64485889
TEST - Advantage+ shopping campaign || Paid || Meta,TEST - Advantage+ shopping campaign || Paid || Meta,Pesce al forno || TEST - Advantage+ shopping campaign || Paid || Meta,EUR,148.28,23927,324,0.45765432,1.35411878,1.65093493
GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,Boxing || GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,EUR,204.22,17212,89,2.29460674,0.51708111,1.65103118
GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,Meme || GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,EUR,71.32,8206,84,0.84904762,1.02364124,1.65143892
GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,Sprachkurs10 || GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,EUR,183.05,13226,211,0.86753555,1.59534251,1.66302024
TEST - Advantage+ shopping campaign || Paid || Meta,TEST - Advantage+ shopping campaign || Paid || Meta,"Standard, 4 || TEST - Advantage+ shopping campaign || Paid || Meta",EUR,85.64,20128,106,0.80792453,0.52662957,1.66760563
US - ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta Campaign,US - ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta Ad set,IELTS || US - ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,EUR,108.19,5460,100,1.0819,1.83150183,1.67536054
GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,"Reel, Video Ads 2 || GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta",EUR,188.32,16639,170,1.10776471,1.02169602,1.69370928
TEST - Advantage+ shopping campaign || Paid || Meta,TEST - Advantage+ shopping campaign || Paid || Meta,"Reel, Costa Troppo || TEST - Advantage+ shopping campaign || Paid || Meta",EUR,575.31,93354,869,0.66203682,0.93086531,1.69592704
TEST - Advantage+ shopping campaign || Paid || Meta,TEST - Advantage+ shopping campaign || Paid || Meta,Cupcakes || TEST - Advantage+ shopping campaign || Paid || Meta,EUR,66.02,16088,125,0.52816,0.77697663,1.70858114
TEST - Advantage+ shopping campaign || Paid || Meta,TEST - Advantage+ shopping campaign || Paid || Meta,"Reel Certificato, Giulia || TEST - Advantage+ shopping campaign || Paid || Meta",EUR,806.63,190573,1103,0.73130553,0.57878083,1.71427929
GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,Bottle toss || GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,EUR,89.26,6766,82,1.08853659,1.21194206,1.72866633
ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,Cocktail || ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,EUR,32.41,6892,71,0.45647887,1.03017992,1.75816327
ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,"Reel, UGC 2 || ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta",EUR,70.61,10525,117,0.60350427,1.11163895,1.75856307
GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,Cricket 1 || GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,EUR,91.12,6656,100,0.9112,1.50240385,1.75945017
TEST - Advantage+ shopping campaign || Paid || Meta,TEST - Advantage+ shopping campaign || Paid || Meta,"Corporate, 1 || TEST - Advantage+ shopping campaign || Paid || Meta",EUR,66.68,21940,84,0.79380952,0.38286235,1.7749373
